POPDB_ID,Status,POP Name,Address,Last Visit,Longitude,Latitude,POP Code,Contacts,Country,Channel,Retail Environment (PS),Sales Group Name,Customer,Sales Group Code,Customer Grade,External Store Code,Comments,Territory/Region
11FE87764BB450F0BFE0B9A46E4F461E,1,구미365약국(JDT) 66554,경상북도,2022-07-20,0,0,PHAR1281,,Korea,OTC,Pharmacy,처방약국,소아과,K56,2,66554,복합적,
9674BEF05FD36A5E994632A090D547B3,1,이도온누리약국(JDT) 66556,서울시,2022-07-21,0,0,PHAR1282,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66556,복합적,
1A85D44811B980D1BCD95A57F0E89556,1,미소약국(JDT)-인천 66557,인천시,2022-07-21,0,0,PHAR1283,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66557,상업적,
ACB804DEB85EB2A3532C01CC9ADB16CA,1,i튼튼약국(JDT) 66558,서울시,2022-06-07,0,0,PHAR1284,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66558,상업적,
756E135325F55A1090114A9D0CB55C9D,1,갤러리아온누리약국(JDT) 66562,서울시,2022-07-21,0,0,PHAR1285,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66562,상업적,
38DBCA33FCBE948B988F29BA99BC379D,1,노원약국(JDT) 66563,서울시,2022-06-02,0,0,PHAR1286,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66563,상업적,
B5F09D3A314896E8AB91C40509800809,1,메디프라자약국(JDT) 66565,경기도,2021-03-11,0,0,PHAR1287,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66565,복합적,
BB3006CC315E94623619E69B6C2D4349,1,하늘약국(JDT)-의정부 66566,경기도,2022-06-03,0,0,PHAR1288,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66566,상업적,
8E43208FC7A43A33FF1C09A44675AA11,1,밝은약국(JDT)-성남 66570,경기도,2022-07-26,0,0,PHAR1289,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66570,학술적,
6CEE7FA196DE707C0FE7ACD9B71E68C5,1,사랑온누리약국(JDT)-대구 66571,대구시,2022-07-14,0,0,PHAR1290,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66571,복합적,
88BD44213FF920951AF1B9D5BDDEC5E5,1,오성약국(JDT) 66572,경기도,2022-06-21,0,0,PHAR1291,,Korea,OTC,Pharmacy,처방약국,소아과,K56,2,66572,복합적,
088618586912F32E5C26A51BC9FEE867,1,건강을준비하는약국(JDT) 66573,서울시,2022-06-09,0,0,PHAR1292,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66573,상업적,
AFB3F895E359DB1612390776AD96ACC1,1,W스토어참좋은약국(JDT) 66574,서울시,2022-06-07,0,0,PHAR1293,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66574,학술적,
57E68E56A0974671C03569CD27F18EF4,1,팔달온누리약국(JDT) 66579,대구시,2022-07-15,0,0,PHAR1294,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66579,복합적,
5FDA37119D1CCBA14C3D522653649219,1,드림약국(JDT)-상계 66581,서울시,2022-05-10,0,0,PHAR1295,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66581,상업적,
59A14A70C3A31ED75F1605BB7A0C5399,1,여의도약국(JDT) 66582,서울시,2022-07-22,0,0,PHAR1296,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66582,복합적,
77F4371B1FF55CCC30CC3AFD656DB08E,1,제일프라자약국(JDT) 66583,경기도,2021-04-14,0,0,PHAR1297,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66583,상업적,
E200ED2252473D060521EAF1AB4089D6,1,연두약국(JDT) 66589,인천시,2022-07-25,0,0,PHAR1298,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66589,상업적,
DB49E733A0597658637B58C38FA614C6,1,에이스온누리약국(JDT) 66591,서울시,2022-07-18,0,0,PHAR1299,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66591,복합적,
